country,country_code_x,region,income_level,capital_city,latitude,longitude,country_code_y,inflation_year,inflation_annual_pct,cost_living_index,rent_index,groceries_index,restaurants_index,purchasing_power_index,bread_price_usd,transport_oneway_usd,transport_monthly_pass_usd,rent_monthly_usd,utilities_monthly_usd
"Venezuela, RB",,Latin America & Caribbean ,Lower middle income,Caracas,9.08165,-69.8371,,,,,,,,,,,,,
British Virgin Islands,,Latin America & Caribbean ,High income,Road Town,18.431389,-64.623056,,,,,,,,,,,,,
Virgin Islands (U.S.),,Latin America & Caribbean ,High income,Charlotte Amalie,18.3358,-64.8963,,,,,,,,,,,,,
Viet Nam,,East Asia & Pacific,Upper middle income,Hanoi,21.0069,105.825,VNM,2024.0,3.62109273885844,,,,,,,,,,
Vanuatu,,East Asia & Pacific,Lower middle income,Port-Vila,-17.7404,168.321,VUT,2024.0,1.14348948727412,,,,,,,,,,
Samoa,,East Asia & Pacific,Upper middle income,Apia,-13.8314,-171.752,WSM,2024.0,2.17245530514377,,,,,,,,,,
Kosovo,,Europe & Central Asia,Upper middle income,Pristina,42.565,20.926,XKX,2024.0,1.61944994559476,,,,,,,,,,
"Yemen, Rep.",,"Middle East, North Africa, Afghanistan & Pakistan",Low income,Sana'a,15.352,44.2075,,,,,,,,,,,,,
South Africa,,Sub-Saharan Africa ,Upper middle income,Pretoria,-25.746,28.1871,ZAF,2024.0,4.36115246518962,50.2,15.2,48.5,49.3,65.8,1.78,2.68,48.5,320.0,60.0
Zambia,,Sub-Saharan Africa ,Lower middle income,Lusaka,-15.3982,28.2937,ZMB,2024.0,14.9856262747939,,,,,,,,,,
Zimbabwe,,Sub-Saharan Africa ,Lower middle income,Harare,-17.8312,31.0672,ZWE,2022.0,104.705170628667,,,,,,,,,,
